307:Sara Nikolic:1:12,15,20,22,30
221:Andrej Lukic:6:16,18,17,19,20,21
101:Anja Obradovic:2:28,31,35,40,44
712:Filip Knezevic:4:7,8,9,10,11
529:Milica Stankovic:6:11,11,14,20,18,16
356:Petar Ilic:7:9,14,8,22,17,13
909:Teodora Jovic:9:10,12,11,13,14
487:Lea Marinkovic:3:25,14,19,15,13
214:Vuk Milosevic:5:12,18,15,22,17,19,25
118:Marko Petrovic:3:14,7,19,11,23,16
273:Nemanja Djordjevic:1:8,13,17,12,10,9
442:Jelena Radic:4:10,12,15,15,18,21
638:Ivana Popovic:2:19,24,21,18,27
305:Milan Vukovic:5:6,9,8,12,7,10,11
